"","x"
"1","HFE"
"2","LY75"
"3","GLI2"
"4","GPC4"
"5","CCND1"
"6","IGFBP2"
"7","C3"
"8","STEAP4"
"9","NES"
"10","TPTE2"
"11","HEMGN"
"12","HMGA2"
"13","ZIC1"
"14","FZD7"
"15","FRRS1"
"16","ADAMTS4"
"17","C1R"
"18","ADAMTS9"
"19","GPX8"
"20","SCARA5"
"21","METTL7B"
"22","GXYLT2"
"23","RPRM"
"24","CIITA"
"25","OXTR"
"26","MPEG1"
"27","SSBP3-AS1"
"28","FOXI3"
"29","AL606491.1"
"30","PROSER2-AS1"
"31","AC013460.1"
"32","AC092683.1"
"33","C4A"
"34","LINC00640"
"35","AC007040.2"
"36","AC005695.1"
"37","FCGBP"
"38","AC133065.3"
